Preço,Condomínio,Área,Quartos,Banheiros,Vagas,Abaixo $,Endereço,Descrição,0,1,2,3,4,Latitude,Longitude
649000,0,131,2,3,0,0,"Rua Enoc Mendonça, 511 - Jardim Pilar, Maringá - PR","Casa com 2 Quartos à Venda, 131m²",,,,,,-23.3763631,-51.9646443
850000,1300,117,3,3,2,0,"Rua Madre de Deus, 204 - Móoca, São Paulo - SP","Apartamento com 3 Quartos à Venda, 117m²",,,,,,-23.5617939,-46.5969595
299000,430,72,2,2,1,0,"Rua Líbero Badaró, 308 - Cidade Ocian, Praia Grande - SP","Apartamento com 2 Quartos à Venda, 72m²",Piscina,Mobiliado,Elevador,Aceita animais,Varanda gourmet,-24.0218596,-46.4727849
310000,350,65,2,1,1,0,"Rua Coração de Maria, 400 - Méier, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 65m²",Mobiliado,Ar-condicionado,Condomínio fechado,Portão eletrônico,Aceita animais,-22.8984041,-43.2798745
448261,300,35,1,1,1,0,"Rua Manoel Isidoro da Silveira, 211 - Lagoa da Conceição, Florianópolis - SC","Apartamento com Quarto à Venda, 35m²",Ar-condicionado,Mobiliado,Churrasqueira,Salão de festas,Portão eletrônico,-27.6029786,-48.4677418
969000,1050,69,2,2,2,0,"Avenida Eusébio Matoso, 786 - Pinheiros, São Paulo - SP","Apartamento com 2 Quartos à Venda, 69m²",Piscina,Mobiliado,Elevador,Aceita animais,Espaço gourmet,-23.5717699,-46.6983665
870000,0,290,3,3,4,0,"Rua Coimbra, 751 - Centro, Diadema - SP","Casa com 3 Quartos à Venda, 290m²",,,,,,-23.6952261,-46.6300891
394000,660,120,3,3,1,0,"Rua Campos Salles, 303 - Centro, Ribeirão Preto - SP","Apartamento com 3 Quartos à Venda, 120m²",Mobiliado,Elevador,Condomínio fechado,Aceita animais,Ar-condicionado,-21.17938628387097,-47.81314702903226
469990,464,69,3,2,1,0,"Rua Retiro, 145 - Tatuapé, São Paulo - SP","Apartamento com 3 Quartos à Venda, 69m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-23.5304826,-46.5559683
3440000,0,800,7,6,13,1,"Alameda das Palmeiras, 95 - São Luíz, Belo Horizonte - MG","Casa com 7 Quartos à Venda, 800m²",Piscina,Aceita animais,Jardim,Estacionamento,Closet,-19.8610305,-43.9713936
8500000,2800,400,4,3,4,0,"Rua Timóteo da Costa - Leblon, Rio de Janeiro - RJ","Cobertura com 4 Quartos à Venda, 400m²",,,,,,-22.9844362,-43.2291901
2600000,1945,170,3,4,2,0,"Rua Capitão Salomão, 30 - Humaitá, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 170m²",Elevador,Aceita animais,Playground,Varanda gourmet,Salão de festas,-22.9571371,-43.1961964
350000,0,70,3,2,2,0,"Rua Princesa Isabel, 15-47 - Vila Lemos, Bauru - SP","Casa com 3 Quartos à Venda, 70m²",,,,,,-22.3106975,-49.088678
690000,0,200,3,4,2,0,"Rua Rio Preto, 276 - Jardim Paulista, Atibaia - SP","Casa com 3 Quartos à Venda, 200m²",,,,,,-23.1426478,-46.5614616
450000,776,82,3,3,1,0,"Rua José Tavares Siqueira, 97 - Parque São Jorge, São Paulo - SP","Apartamento com 3 Quartos à Venda, 82m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-23.5304546,-46.5687952
699000,0,145,3,4,2,0,"Rua de Itu, 117 - Guabirotuba, Curitiba - PR","Sobrado com 3 Quartos à Venda, 145m²",,,,,,-25.4649677,-49.2399822
750000,930,50,1,1,0,0,"Avenida Ataulfo de Paiva, 50 - Leblon, Rio de Janeiro - RJ","Apartamento com Quarto à Venda, 50m²",Elevador,Condomínio fechado,Aceita animais,Jardim,Playground,-22.9859573,-43.2280389
1690000,1600,213,4,5,3,0,"Rua Acyr Guimarães, 389 - Água Verde, Curitiba - PR","Apartamento com 4 Quartos à Venda, 213m²",Elevador,Aceita animais,Ar-condicionado,Playground,Salão de festas,-25.4489785,-49.2902971
1200000,1100,92,2,3,1,0,"Rua Percy Murray, X - Copacabana, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 92m²",Elevador,Aceita animais,Ar-condicionado,Salão de festas,Bicicletário,-22.9772609,-43.1951214
3350000,2000,230,4,4,2,0,"Rua República do Peru, 35 - Copacabana, Rio de Janeiro - RJ","Apartamento com 4 Quartos à Venda, 230m²",Salão de festas,Elevador,Condomínio fechado,Portaria 24h,Portão eletrônico,-22.9690109,-43.1805717
499999,401,60,2,1,1,0,"Rua do Parque, 256 - Ipiranga, São Paulo - SP","Apartamento com 2 Quartos à Venda, 60m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-23.6022988,-46.6040962
212188,196,83,2,1,1,0,"Avenida José Aloísio Filho, 441 - Humaitá, Porto Alegre - RS","Apartamento com 2 Quartos à Venda, 83m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-29.9881726,-51.1911356
328000,570,72,2,2,1,0,"Rua Comendador Alfaia Rodrigues, 157 - Embaré, Santos - SP","Apartamento com 2 Quartos à Venda, 72m²",Aceita animais,Ar-condicionado,Área de serviço,Móvel planejado,Bicicletário,-23.9685627,-46.311507
820000,474,32,1,1,0,0,"Rua Aníbal de Mendonça, 16 - Ipanema, Rio de Janeiro - RJ","Apartamento com Quarto à Venda, 32m²",Elevador,Condomínio fechado,Aceita animais,Ar-condicionado,Portaria 24h,-22.9838071,-43.2113367
180000,380,70,2,2,2,0,"Rua Subragi, 125 - Itaquera, São Paulo - SP","Apartamento com 2 Quartos à Venda, 70m²",Aceita animais,Condomínio fechado,Portaria 24h,,,-23.5246125,-46.468716
700000,900,86,2,3,2,0,"Rua Doutor Antônio Galízia, 79 - Cambuí, Campinas - SP","Apartamento com 2 Quartos à Venda, 86m²",Piscina,Churrasqueira,Academia,Aceita animais,Espaço gourmet,-22.8895409,-47.0512288
1150000,1310,95,3,3,1,0,"Rua Pompeu Loureiro, 36 - Copacabana, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 95m²",Elevador,Aceita animais,Ar-condicionado,Jardim,Playground,-22.9754585,-43.1934977
580000,700,62,2,1,1,0,"Rua Riachuelo, 92 - Centro, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 62m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-22.9125705,-43.1919672
750000,950,187,3,4,2,0,"Rua Professor Doutor Olavo de Paula Borges, 88 - Ponta da Praia, Santos - SP","Apartamento com 3 Quartos à Venda, 187m²",Churrasqueira,Elevador,Condomínio fechado,Aceita animais,Jardim,-23.983269,-46.3042603
1020000,750,170,3,4,2,0,"Rua Deputado Joaquim Câmara, 266 - Tirol, Natal - RN","Apartamento com 3 Quartos à Venda, 170m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-5.8107983,-35.2020246
1700000,0,371,2,6,7,0,"Avenida Doutor Heitor Penteado, 1057 - Taquaral, Campinas - SP","Casa com 2 Quartos à Venda, 371m²",,,,,,-22.8771971,-47.0556658
650000,1000,102,3,3,2,0,"Avenida Iguaçu, 2960 - Água Verde, Curitiba - PR","Apartamento com 3 Quartos à Venda, 102m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-25.4497151,-49.2896936
798000,160,159,2,3,2,0,"Rua João Abbott, 230 - Petrópolis, Porto Alegre - RS","Apartamento com 2 Quartos à Venda, 159m²",Mobiliado,Churrasqueira,Condomínio fechado,Aceita animais,Espaço gourmet,-30.0423531,-51.1880512
400000,550,60,2,2,1,0,"Estrada dos Três Rios, 965 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 60m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-22.9299388,-43.3221844
840000,300,90,3,2,1,0,"Rua Martiniano de Carvalho, 292 - Bela Vista, São Paulo - SP","Apartamento com 3 Quartos à Venda, 90m²",Ar-condicionado,Cozinha americana,Portão eletrônico,,,-23.565397,-46.6427116
780000,725,149,3,3,2,0,"Rua Sérgio Magalhães, 65 - Graças, Recife - PE","Apartamento com 3 Quartos à Venda, 149m²",Piscina,Churrasqueira,Elevador,Academia,Aceita animais,-8.0444399,-34.901222450000006
950000,1000,154,4,4,3,0,"Avenida Beira Mar, 2094 - Praia do Morro, Guarapari - ES","Apartamento com 4 Quartos à Venda, 154m²",Piscina,Mobiliado,Churrasqueira,Elevador,Aceita animais,-20.655152,-40.48990925858894
150000,350,70,3,2,2,0,"Rua 410, Sn - Setor Negrão de Lima, Goiânia - GO","Apartamento com 3 Quartos à Venda, 70m²",Portaria 24h,,,,,-16.6573097,-49.2405214
1081000,1000,163,2,2,1,0,"Alameda Dom Pedro II, 332 - Batel, Curitiba - PR","Apartamento com 2 Quartos à Venda, 163m²",Mobiliado,Elevador,Condomínio fechado,Aceita animais,Jardim,-25.4383885,-49.284384
475000,620,50,1,2,1,0,"Rua Sá Ferreira, 184 - Copacabana, Rio de Janeiro - RJ","Apartamento com Quarto à Venda, 50m²",Aceita animais,Portaria 24h,Quarto de serviço,,,-22.9811942,-43.1925476
1375000,750,111,3,3,2,0,"Rua do Boqueirão, 305 - Saúde, São Paulo - SP","Apartamento com 3 Quartos à Venda, 111m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-23.622523,-46.6121451
220000,841,49,2,1,1,0,"Rua Euclides Faria, 39 - Ramos, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 49m²",Churrasqueira,Elevador,Condomínio fechado,Aceita animais,Ar-condicionado,-22.8563844,-43.2663426
1190000,850,111,3,3,2,0,"Rua Lino Coutinho, 75 - Ipiranga, São Paulo - SP","Apartamento com 3 Quartos à Venda, 111m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-23.5941771,-46.6022567
990000,649,75,2,3,1,0,"Rua Barão de Itambi, 34 - Botafogo, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 75m²",Elevador,Condomínio fechado,Aceita animais,Ar-condicionado,Playground,-22.9405309,-43.1801292
460000,450,76,3,2,2,0,"Rua Santos, 1127 - Centro, Londrina - PR","Apartamento com 3 Quartos à Venda, 76m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-23.31594105,-51.16772656691046
125000,310,107,2,2,2,0,"Avenida Doutor Alexandre Martins Laroca, 930 - Santa Terezinha, Paulínia - SP","Apartamento com 2 Quartos à Venda, 107m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-22.7760848,-47.1396309
249900,510,61,2,1,0,0,"Avenida Inconfidência, 81 - Nossa Senhora das Graças, Canoas - RS","Apartamento com 2 Quartos à Venda, 61m²",Mobiliado,Churrasqueira,Aceita animais,Ar-condicionado,Jardim,-29.9261628,-51.177848
